body,interior,build,function,reliability,issues,price,sentiment
color,ipod,sport,toy,top,issues,like-priced,like
wheels,small,awd,commuter,smooth,troublesome,value,wants
bulletproof,accessories,luxury,premium,reliability,kinks,bargain,great
taillight,tech,fwd/awd,premium-class,quality,issue,deal,complaining
looks,comfort,transmission,mileage,king,problem,cheap,ultra
styling,moonroof,fluid,turbo,warranty,heavy,overpriced,happy
,roomy,air-cleaner,advantages,upscale,frustrations,expensive,good
,technology,power,performance,tough,fault,reasonable,inspiring
,fancier,style,functionality,consistent,failed,,best
,leather,engine,leader,reliable,failure,,fun
,big,v8,athletic,,,,swag
,comfortable,fwd,mediocre,,,,impressed
,wheel,warped,mediocrity,,,,begrudge
,support,loaded,pickup,,,,loser
,bluetooth,personality,commuter,,,,better
,alltrack,moonroof,,,,,nice
,,sensors,,,,,impressive
,,tires,,,,,love
,,,,,,,thankful
,,,,,,,grand
,,,,,,,spoiled
,,,,,,,desirable
,,,,,,,exclusive
,,,,,,,hate
,,,,,,,special
,,,,,,,worst
,,,,,,,superior
,,,,,,,fantastic
