b'Mon Oct 08 23:52:57 +0000 2018',1012142478173057029,b'flapperdreams',b'',b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 23:51:15 +0000 2018',618718904,b'jana7197',b'Ohio',"b""RT @GaryRayBetz: Hopefully once Trump's fascist regime falls, sexual predator Brett Kavanaugh is impeached for perjury, and insincere hypoc\xe2\x80\xa6"""
b'Mon Oct 08 23:49:50 +0000 2018',482385007,b'GaryRayBetz',b'Georgia',"b""RT @GaryRayBetz: Hopefully once Trump's fascist regime falls, sexual predator Brett Kavanaugh is impeached for perjury, and insincere hypoc\xe2\x80\xa6"""
b'Mon Oct 08 23:38:41 +0000 2018',546007788,b'Sevenfold747',b'',"b'RT @CBSEveningNews: WATCH: Hundreds of protesters, with some wielding signs that said ""We believe Dr. Christine Blasey Ford,"" ended a demon\xe2\x80\xa6'"
b'Mon Oct 08 23:33:29 +0000 2018',59688760,b'ispyono',b'',"b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 23:27:12 +0000 2018',37639908,b'Kittencat519',b'',b'RT @SenWarren: I believe Dr. Christine Blasey Ford. Brett Kavanaugh has disqualified himself from sitting on the Supreme Court \xe2\x80\x93 but Senate\xe2\x80\xa6'
b'Mon Oct 08 23:05:19 +0000 2018',615577671,b'Jirene17',b'',b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 23:00:07 +0000 2018',62515261,b'RodVereen',b'Miami',"b""Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said the Dr. Christine Blasey\xe2\x80\xa6 https://t.co/5ixLOUUPGj"""
b'Mon Oct 08 22:57:56 +0000 2018',15249218,b'RespectPBJTime',b'',b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 22:50:27 +0000 2018',803325823260442624,b'MRoyal88',b'',b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 22:48:24 +0000 2018',415615447,b'CWaddington504',b'New Orleans',b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 22:40:21 +0000 2018',182273937,b'EdwardRogersR',"b'Coral Gables, FL'",b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 22:33:34 +0000 2018',1496319918,b'pmeadep',b'',"b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 22:24:35 +0000 2018',2557553012,b'SVDMatrix',b'United States',b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 22:21:35 +0000 2018',1426335816,b'jbogeajis',b'San Francisco',b'RT @BettyBuckley: #Repost @thedailyshow\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nThe consequences for Brett Kavanaugh and Dr. Christine Blasey Ford following the Senate hearing\xe2\x80\xa6'
b'Mon Oct 08 22:21:33 +0000 2018',165363730,b'444xyz',b'',b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 22:18:36 +0000 2018',39590786,b'SteveAzzara',b'New York',b'@SarahKSilverman @Scotus Christine Blasey Ford pressured Leland Keyser to change her story.\nFord said Keyser was at\xe2\x80\xa6 https://t.co/VMsTiLIimU'
b'Mon Oct 08 22:16:46 +0000 2018',39590786,b'SteveAzzara',b'New York',b'@DEADLINE @Alyssa_Milano Christine Blasey Ford pressured Leland Keyser to change her story.\nFord said Keyser was at\xe2\x80\xa6 https://t.co/T1cuyaeyxp'
b'Mon Oct 08 22:14:50 +0000 2018',39590786,b'SteveAzzara',b'New York',b'@Alyssa_Milano Christine Blasey Ford pressured Leland Keyser to change her story.\nFord said Keyser was at the party\xe2\x80\xa6 https://t.co/TaDKV5DyGR'
b'Mon Oct 08 22:11:28 +0000 2018',1674515587,b'UsmcDeplorable',b'United States',"b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 22:10:51 +0000 2018',39590786,b'SteveAzzara',b'New York',b'@Alyssa_Milano Christine Blasey Ford pressured Leland Keyser to change her story.\nKeyser told the Senate Judiciary\xe2\x80\xa6 https://t.co/9riUD3j93P'
b'Mon Oct 08 22:08:20 +0000 2018',780160105320894464,b'Mok_Chwan_Yee',b'',"b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 22:08:13 +0000 2018',2768192396,b'photoshopteach1',"b'California, USA'","b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 22:04:18 +0000 2018',4750473576,b'jem3781',b'',"b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 22:01:59 +0000 2018',822151062991831041,b'Viktor_DoKaren',"b'Wisconsin, USA'",b'RT @debbielala58: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/Q2lW7epKPO via @slate'
b'Mon Oct 08 22:00:47 +0000 2018',885173383,b'basso1961',b'',b'RT @BettyBuckley: #Repost @thedailyshow\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nThe consequences for Brett Kavanaugh and Dr. Christine Blasey Ford following the Senate hearing\xe2\x80\xa6'
b'Mon Oct 08 22:00:23 +0000 2018',2200336116,b'debbielala58',"b'Oregon, USA'",b'Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/Q2lW7epKPO via @slate'
b'Mon Oct 08 21:59:35 +0000 2018',96205284,b'BettyBuckley',b'West Texas',b'#Repost @thedailyshow\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nThe consequences for Brett Kavanaugh and Dr. Christine Blasey Ford following the Senate h\xe2\x80\xa6 https://t.co/XZB5wgKVBW'
b'Mon Oct 08 21:59:05 +0000 2018',1046217348850569216,b'arguswv',b'',b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 21:52:34 +0000 2018',100876815,b'melanesiansynic',b'In the future ',"b""RT @mic: If Christine Blasey Ford had behaved in Thursday's Senate hearing like Brett Kavanaugh did, how would things be different?\n\nFormer\xe2\x80\xa6"""
b'Mon Oct 08 21:50:54 +0000 2018',87862480,b'mng2mala',"b'Orange County, CA'","b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 21:45:21 +0000 2018',886140988476997633,b't00thyPeg',b'',"b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 21:42:20 +0000 2018',212287693,b'thewademethod',"b'Detroit, Michigan'","b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 21:40:29 +0000 2018',553203747,b'idyllchatter',b'New Yorker in Canada',"b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 21:37:35 +0000 2018',772482927724728320,b'diversity4usaCL',b'',b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 21:36:03 +0000 2018',2853530953,b'claude859',"b'Tennessee, USA'",b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 21:28:26 +0000 2018',775025597550505986,b'realspaceblatt',"b'Texas, USA'","b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 21:28:03 +0000 2018',963813649155526657,b'OpinionsKelly',b'',"b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 21:27:37 +0000 2018',35074516,b'pina_insurance',b'NY',"b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
b'Mon Oct 08 21:27:17 +0000 2018',780140744803774464,b'katie_roll29',"b'New York, USA'",b'RT @TomthunkitsMind: Checkmate: Kavanaugh accuser Dr. Christine Blasey Ford offers Senate 4 more people who corroborate her assault claims.\xe2\x80\xa6'
b'Mon Oct 08 21:26:10 +0000 2018',14640845,b'lamarshall',"b'Durham, NC'","b'RT @Irenie_M: Kevin Cramer, the GOP\xe2\x80\x99s nominee for Senate in North Dakota, has suggested that attempted rape is no big deal, and that Christ\xe2\x80\xa6'"
b'Mon Oct 08 21:25:22 +0000 2018',4183045577,b'lucaslea98',b'',"b'RT @Irenie_M: Kevin Cramer, the GOP\xe2\x80\x99s nominee for Senate in North Dakota, has suggested that attempted rape is no big deal, and that Christ\xe2\x80\xa6'"
b'Mon Oct 08 21:25:09 +0000 2018',830562865060798464,b'MikeMb092159',"b'Harlem, NY'",b'RT @Slate: Susan Collins\xe2\x80\x99 Senate speech was a cruel attack on Christine Blasey Ford: https://t.co/3sKYyzprIR https://t.co/MVuAui9WUk'
b'Mon Oct 08 21:24:26 +0000 2018',945656330597093377,b'thechefcarolyn',b'',"b""RT @MSNBC: Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham said Dr. Christine Blasey Ford had been tre\xe2\x80\xa6"""
